Name=traffic_small.txt
StartTime=11:02:18
EndTime=11:49:14
*******************

TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 84.31, Y: 47.73, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:09:38
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 126.58, Y: -317.50, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:09:38
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 85.38, Y: 48.06, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:09:46
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 127.28, Y: -317.95, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:09:46
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 86.42, Y: 48.38, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:09:54
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 127.97, Y: -318.41, Vx: 313, Vy: -204, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:09:54
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 87.47, Y: 48.70, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:10:02
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 128.67, Y: -318.86, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:10:02
TrackMovedEvent Flight: 4996, CallSign: AAF312Q, Ssr: 4315, Sector: --, Layers: I, X: 88.53, Y: 49.03, Vx: 474, Vy: 145, Afl: 240, Rate: 0, Heading: 73, GroundSpeed: 496, Tendency: 0, Time: 11:10:10
TrackMovedEvent Flight: 5042, CallSign: VLG2973, Ssr: 2362, Sector: --, Layers: I, X: 129.36, Y: -319.31, Vx: 313, Vy: -205, Afl: 200, Rate: 0, Heading: 123, GroundSpeed: 374, Tendency: 0, Time: 11:10:10
